dataset,seed,status,wall_elapsed_seconds,training_elapsed_seconds,source,method,iters,selected_iteration,valid,num_flipped,num_nonfinite,num_intersections,min_signed_area,symmetric_dirichlet_mean,symmetric_dirichlet_area_weighted_mean,symmetric_dirichlet_p95,symmetric_dirichlet_p99,symmetric_dirichlet_max,angle_distortion_mean_deg,angle_distortion_p95_deg,angle_distortion_max_deg,normalized_uv_area_min,initial_symmetric_dirichlet_mean,initial_symmetric_dirichlet_max
Balls,4,complete,104.86505089999991,91.99990450000041,data\output\v2_1_multiseed\Balls\seed_4\spline\Balls_spline_seed4.metrics.json,spline,1000,975,True,0,0,0,0.019111931324005127,5.105350971221924,4.597931703865877,7.401492595672607,17.875581741333008,31.009916305541992,12.97516546855409,35.768096831043735,82.8196880596286,0.05262826010584831,8.404830932617188,130.64695739746094
David328,,complete,,,data\output\v2_1_multiseed\David328\seed_0\affine\David328_affine_seed0.metrics.json,initial,0,0,True,0,0,0,0.0015429302974062818,34.694400787353516,28.409904139347297,145.427978515625,243.545654296875,698.5292358398438,20.997121710634236,53.75168057564068,111.67839684565686,0.0007443642966928505,34.694400787353516,698.5292358398438
David328,0,complete,25.40449119999539,16.588815099996282,data\output\v2_1_multiseed\David328\seed_0\affine\David328_affine_seed0.metrics.json,affine,1000,1000,True,0,0,0,0.004557520616799593,11.780516624450684,10.599241941373602,31.00643539428711,60.901771545410156,157.8162384033203,27.086260945014267,70.24787795195712,141.6122751831384,0.012668180279433727,34.694400787353516,698.5292358398438
David328,0,complete,96.75670559999708,87.70052379999834,data\output\v2_1_multiseed\David328\seed_0\spline\David328_spline_seed0.metrics.json,spline,1000,1000,True,0,0,0,0.009033211506903172,9.608771324157715,8.89611741002985,23.941946029663086,37.87544250488281,58.68056106567383,25.24246303722461,65.07363409085737,114.28376903668334,0.02844868041574955,34.694400787353516,698.5292358398438
David328,1,complete,25.453683499988983,16.448426000002655,data\output\v2_1_multiseed\David328\seed_1\affine\David328_affine_seed1.metrics.json,affine,1000,1000,True,0,0,0,0.004164095036685467,11.634096145629883,10.711738962473525,29.15653419494629,49.743560791015625,174.88803100585938,27.095128671389485,69.1442750202602,130.96171129164213,0.011345052160322666,34.694400787353516,698.5292358398438
David328,1,complete,95.26289870000619,86.19680649999646,data\output\v2_1_multiseed\David328\seed_1\spline\David328_spline_seed1.metrics.json,spline,1000,1000,True,0,0,0,0.01039534155279398,9.702474594116211,8.995838093684707,22.474903106689453,37.59862518310547,70.07927703857422,26.15751233717283,65.94493682698321,118.73479841310555,0.03258078545331955,34.694400787353516,698.5292358398438
David328,2,complete,25.518242000005557,16.641359700006433,data\output\v2_1_multiseed\David328\seed_2\affine\David328_affine_seed2.metrics.json,affine,1000,1000,True,0,0,0,0.003819541772827506,11.959466934204102,10.894984933620695,29.968425750732422,67.39693450927734,195.6890106201172,26.771247438802078,67.04019357204488,126.79979016240823,0.010137577541172504,34.694400787353516,698.5292358398438
David328,2,complete,91.6859795999917,82.75661699999182,data\output\v2_1_multiseed\David328\seed_2\spline\David328_spline_seed2.metrics.json,spline,1000,1000,True,0,0,0,0.008667819201946259,9.662941932678223,8.973900241613885,21.507198333740234,39.090763092041016,86.92851257324219,25.90958754985701,64.7921350652889,119.78944792284722,0.02682088501751423,34.694400787353516,698.5292358398438
David328,3,complete,25.193968900013715,16.358750599989435,data\output\v2_1_multiseed\David328\seed_3\affine\David328_affine_seed3.metrics.json,affine,1000,1000,True,0,0,0,0.003981807269155979,12.048943519592285,10.845584434459905,29.92401123046875,60.778343200683594,180.3054962158203,26.75047115076871,68.03497304396332,126.44202485368295,0.010442240163683891,34.694400787353516,698.5292358398438
David328,3,complete,95.95543940000061,86.95499030000065,data\output\v2_1_multiseed\David328\seed_3\spline\David328_spline_seed3.metrics.json,spline,1000,825,True,0,0,0,0.008255615830421448,9.827370643615723,9.065194539490204,23.069305419921875,43.54133224487305,82.99579620361328,26.33443439565004,68.11614368530034,126.01375833234482,0.025731656700372696,34.694400787353516,698.5292358398438
